"name","allsides_page","bias","agree","disagree","agree_ratio","agreeance_text","website"
"The Hill","https://www.allsides.com/news-source/hill-media-bias","center","5594","7004","0.7986864648772131","somewhat disagrees",""
"The Intercept","https://www.allsides.com/news-source/intercept","left","526","422","1.2464454976303319","somewhat agrees","https://theintercept.com"
"The Jerusalem Post","https://www.allsides.com/news-source/jerusalem-post-media-bias","center","66","70","0.9428571428571428","somewhat disagrees",""
"The Justice","https://www.allsides.com/news-source/justice","left-center","93","103","0.9029126213592233","somewhat disagrees","http://www.thejustice.org/"
"The Korea Herald","https://www.allsides.com/news-source/korea-herald","center","116","63","1.8412698412698412","agrees","http://www.koreaherald.com/index.php"
"The Libertarian Republic","https://www.allsides.com/news-source/libertarian-republic","right-center","532","479","1.1106471816283925","somewhat agrees","http://thelibertarianrepublic.com/"
"The Nation","https://www.allsides.com/news-source/nation","left","527","191","2.7591623036649215","strongly agrees","http://www.thenation.com"
"The New Yorker","https://www.allsides.com/news-source/new-yorker","left","1030","383","2.6892950391644908","strongly agrees",""
"The Observer (New York)","https://www.allsides.com/news-source/observer","center","134","282","0.475177304964539","strongly disagrees","http://observer.com/"
"The Oracle","https://www.allsides.com/news-source/oracle","center","35","76","0.4605263157894737","strongly disagrees","http://www.usforacle.com/"
"The Philadelphia Inquirer","https://www.allsides.com/news-source/phillycom","left-center","34","50","0.68","somewhat disagrees","http://www.philly.com/"
"The Red and Black","https://www.allsides.com/news-source/red-and-black","center","83","60","1.3833333333333333","somewhat agrees","http://www.redandblack.com/"
"The Reliable Bias","https://www.allsides.com/news-source/reliable-bias","center","52","87","0.5977011494252874","disagrees","http://reliablebias.com/home/"
"The Republican","https://www.allsides.com/news-source/republican","center","121","314","0.3853503184713376","strongly disagrees","https://www.therepublicannews.com/"
"The Root","https://www.allsides.com/news-source/root","left-center","147","210","0.7","somewhat disagrees",""
"The Sacramento Bee","https://www.allsides.com/news-source/sacramento-bee","left-center","196","204","0.9607843137254902","somewhat disagrees","http://www.sacbee.com/"
"The Saturday Evening Post","https://www.allsides.com/news-source/saturday-evening-post","center","92","53","1.7358490566037736","agrees",""
"The Telegraph - UK","https://www.allsides.com/news-source/telegraph-uk","right-center","436","250","1.744","agrees","http://www.telegraph.co.uk/"
"The Verge","https://www.allsides.com/news-source/verge","left-center","336","226","1.4867256637168142","somewhat agrees","http://www.theverge.com/politics"
"The Week","https://www.allsides.com/news-source/the-week-bias","center","2452","1872","1.3098290598290598","somewhat agrees","http://theweek.com/"
"The Weekly Standard","https://www.allsides.com/news-source/weekly-standard","right","978","590","1.6576271186440679","agrees","http://www.weeklystandard.com/"
"TheBlaze.com","https://www.allsides.com/news-source/theblaze-bias","right","10093","5248","1.9232088414634145","agrees","http://www.theblaze.com/"
"ThinkProgress","https://www.allsides.com/news-source/thinkprogress-bias","left","1878","645","2.911627906976744","strongly agrees","http://thinkprogress.org/"
"Time Magazine","https://www.allsides.com/news-source/time-magazine-news-media-bias","left-center","3083","2586","1.1921887084300078","somewhat agrees","http://www.time.com/time/"
"Townhall","https://www.allsides.com/news-source/townhall-bias","right","7925","12829","0.6177410554213111","disagrees","http://townhall.com/"
"Truth or Fiction","https://www.allsides.com/news-source/truth-or-fiction","center","171","127","1.3464566929133859","somewhat agrees","https://www.truthorfiction.com/"
"TruthOut","https://www.allsides.com/news-source/truthout","left-center","230","257","0.8949416342412452","somewhat disagrees","http://www.truth-out.org/"
"U.S. News & World Report","https://www.allsides.com/news-source/us-news-and-world-report","left-center","1093","1286","0.8499222395023328","somewhat disagrees","http://www.usnews.com/"
"Univision","https://www.allsides.com/news-source/univision","left-center","240","299","0.802675585284281","somewhat disagrees","http://www.univision.com/"
"Upworthy","https://www.allsides.com/news-source/upworthy","left","354","238","1.4873949579831933","somewhat agrees","http://upworthy.com"
"USA TODAY","https://www.allsides.com/news-source/usa-today-media-bias","center","10867","7906","1.3745256767012395","somewhat agrees","http://www.usatoday.com/"
"Vanity Fair","https://www.allsides.com/news-source/vanity-fair","left-center","2519","1669","1.5092869982025165","agrees","http://www.vanityfair.com/"
"Vice","https://www.allsides.com/news-source/vice-media-bias","left","645","195","3.3076923076923075","absolutely agrees",""
"Volante","https://www.allsides.com/news-source/volante","center","93","106","0.8773584905660378","somewhat disagrees","http://volanteonline.com/"
"Vox","https://www.allsides.com/news-source/vox-news-media-bias","left","8173","11050","0.7396380090497737","somewhat disagrees","http://www.vox.com"
"VT Digger","https://www.allsides.com/news-source/vt-digger","left-center","94","129","0.7286821705426356","somewhat disagrees","http://vtdigger.org/"
"Wake Up to Politics","https://www.allsides.com/news-source/wake-politics-media-bias","center","2","3","0.6666666666666666","disagrees","http://www.wakeuptopolitics.com"
"Wall Street Journal - News","https://www.allsides.com/news-source/wall-street-journal-media-bias","center","10346","16163","0.6401039411000433","disagrees","http://online.wsj.com/"
"Wall Street Journal - Opinion/Editorial","https://www.allsides.com/news-source/wall-street-journal-opinion","right-center","3574","2935","1.2177172061328791","somewhat agrees","http://online.wsj.com/public/page/news-opinion-commentary.html"
"Washington Examiner","https://www.allsides.com/news-source/washington-examiner","right-center","3036","1684","1.8028503562945368","agrees","http://washingtonexaminer.com/"
"Washington Free Beacon","https://www.allsides.com/news-source/washington-free-beacon","right","371","357","1.0392156862745099","somewhat agrees","http://freebeacon.com/"
"Washington Monthly","https://www.allsides.com/news-source/washington-monthly","left-center","143","120","1.1916666666666667","somewhat agrees","http://washingtonmonthly.com/"
"Washington Post","https://www.allsides.com/news-source/washington-post-media-bias","left-center","21909","13159","1.6649441446918458","agrees","http://www.washingtonpost.com/regional"
"Washington Times","https://www.allsides.com/news-source/washington-times-bias","right-center","19316","9616","2.0087354409317806","strongly agrees","http://www.washingtontimes.com/"
"Watchdog.org","https://www.allsides.com/news-source/watchdogorg","right-center","445","468","0.9508547008547008","somewhat disagrees",""
"Western Journalism","https://www.allsides.com/news-source/western-journalism","right","771","327","2.3577981651376145","strongly agrees","http://www.westernjournalism.com/"
"WFAE","https://www.allsides.com/news-source/wfae","center","101","126","0.8015873015873016","somewhat disagrees","http://wfae.org/"
"WGBH","https://www.allsides.com/news-source/wgbh","center","255","177","1.4406779661016949","somewhat agrees","http://news.wgbh.org/"
"Whatfinger News","https://www.allsides.com/news-source/whatfinger-news-media-bias","right","23","14","1.6428571428571428","agrees",""
"Wisconsin Gazette","https://www.allsides.com/news-source/wisconsin-gazette","left-center","154","128","1.203125","somewhat agrees","http://wisconsingazette.com/"
"WND.com","https://www.allsides.com/news-source/wndcom","right","382","150","2.546666666666667","strongly agrees","http://www.wnd.com/"
"Yahoo! News","https://www.allsides.com/news-source/yahoo-screen-0","left","1285","1171","1.0973526900085397","somewhat agrees","https://screen.yahoo.com"
"Yes! Magazine","https://www.allsides.com/news-source/yes-magazine","left","314","152","2.0657894736842106","strongly agrees","http://www.yesmagazine.org/"
